iter	RMSE
0	400.5028744
1	382.4304388
2	365.1604485
3	349.1200406
4	333.8604758
5	319.4649618
6	305.5958861
7	292.4925768
8	280.4851687
9	268.7923356
10	257.6502333
11	247.0722005
12	237.3684546
13	228.0861172
14	219.1913284
15	210.804295
16	203.0361437
17	195.5585238
18	188.4851205
19	181.8530944
20	175.7184027
21	169.7815528
22	164.3178654
23	159.0613923
24	154.1275032
25	149.6274311
26	145.3620239
27	141.275122
28	137.5999164
29	134.0860784
30	130.7619739
31	127.4988301
32	124.5616889
33	121.7224739
34	119.2460346
35	116.7821736
36	114.5401886
37	112.4780186
38	110.6178214
39	108.8664297
40	107.2156941
41	105.6080933
42	104.0106362
43	102.6601518
44	101.3067503
45	99.99874477
46	98.94848007
47	97.87058868
48	96.90038657
49	96.00889251
50	95.02533591
51	94.2706634
52	93.50965024
53	92.86837251
54	92.09071194
55	91.4805407
56	90.75899528
57	90.16353996
58	89.67572987
59	89.03091996
60	88.47588005
61	88.08039115
62	87.58764474
63	87.14408951
64	86.65533128
65	86.31601554
66	85.93850959
67	85.5449607
68	85.13672821
69	84.81330482
70	84.58774805
71	84.2478166
72	83.87231814
73	83.59383882
74	83.30554837
75	83.06459678
76	82.84270874
77	82.65687795
78	82.45096182
79	82.20929818
80	81.97137418
81	81.80030933
82	81.59107146
83	81.283176
84	81.04624725
85	80.8184366
86	80.54028026
87	80.33618941
88	80.12514995
89	79.90483917
90	79.75033624
91	79.51151188
92	79.34926429
93	79.22610118
94	79.03426026
95	78.87516808
96	78.72434143
97	78.61694183
98	78.45898753
99	78.3165941
100	78.15993239
101	78.04863012
102	77.85817901
103	77.75534663
104	77.63799575
105	77.52220219
106	77.39878379
107	77.27919001
108	77.17291329
109	77.07285954
110	76.81606731
111	76.66049183
112	76.430764
113	76.31661574
114	76.17465747
115	76.03539615
116	75.96040557
117	75.82085158
118	75.68357419
119	75.51732448
120	75.43245352
121	75.31871964
122	75.21077956
123	75.10600491
124	75.01492124
125	74.92578227
126	74.74912133
127	74.60867431
128	74.45567708
129	74.30379585
130	74.20282969
131	74.09644981
132	73.97140218
133	73.85955918
134	73.75617506
135	73.64702481
136	73.513375
137	73.45511392
138	73.34313358
139	73.19776022
140	73.05123234
141	72.97496729
142	72.83710225
143	72.74495855
144	72.62933225
145	72.53245068
146	72.40099861
147	72.28229971
148	72.19143308
149	72.05167997
150	71.94658797
151	71.85198927
152	71.77440219
153	71.72077905
154	71.63831295
155	71.54796931
156	71.46226167
157	71.37124969
158	71.24490071
159	71.18130881
160	71.0627738
161	70.94483485
162	70.83351056
163	70.72861132
164	70.60334904
165	70.52867617
166	70.42480289
167	70.36093433
168	70.30756531
169	70.23736564
170	70.14248435
171	70.01765968
172	69.95145006
173	69.91286539
174	69.82618396
175	69.76387437
176	69.64756175
177	69.56011116
178	69.45294112
179	69.30571844
180	69.24369003
181	69.11605908
182	69.05485341
183	68.96064807
184	68.88411786
185	68.77700047
186	68.71684831
187	68.61130495
188	68.5169733
189	68.41593457
190	68.34564492
191	68.29918598
192	68.20894378
193	68.05281143
194	67.99264619
195	67.92496737
196	67.81445897
197	67.706713
198	67.63358256
199	67.59674023
200	67.52169425
201	67.46875732
202	67.40281293
203	67.29444856
204	67.22987008
205	67.12971938
206	67.10057322
207	67.06514321
208	66.99433515
209	66.92143573
210	66.83014026
211	66.77871746
212	66.72575961
213	66.68266449
214	66.62968974
215	66.52495166
216	66.48607833
217	66.42307184
218	66.38862031
219	66.27649651
220	66.20217763
221	66.13500962
222	66.04669257
223	66.01429626
224	65.95830899
225	65.86348
226	65.79803995
227	65.73464101
228	65.63144739
229	65.56908392
230	65.52527995
231	65.46835668
232	65.3733637
233	65.27827075
234	65.2222527
235	65.12211942
236	65.05117444
237	64.95027873
238	64.91835823
239	64.87207366
240	64.79791127
241	64.72743802
242	64.63152792
243	64.53427945
244	64.47450661
245	64.41322527
246	64.38976577
247	64.33388726
