iter	Passed	Remaining
0	17	8796
1	26	6610
2	35	5844
3	44	5462
4	52	5207
5	61	5051
6	71	5014
7	80	4946
8	91	4984
9	102	4999
10	112	4989
11	121	4927
12	131	4910
13	140	4860
14	150	4866
15	162	4907
16	172	4894
17	182	4875
18	192	4873
19	201	4847
20	212	4847
21	222	4836
22	232	4826
23	243	4821
24	256	4877
25	272	4966
26	283	4974
27	297	5023
28	308	5009
29	318	4988
30	330	5004
31	342	5002
32	352	4985
33	363	4978
34	374	4973
35	384	4958
36	396	4958
37	407	4952
38	419	4958
39	431	4962
40	443	4961
41	456	4973
42	469	4985
43	481	4988
44	492	4984
45	505	4989
46	515	4972
47	526	4961
48	538	4955
49	553	4979
50	567	4997
51	580	5005
52	596	5030
53	610	5042
54	621	5031
55	632	5015
56	647	5034
57	658	5021
58	670	5011
59	683	5013
60	696	5012
61	708	5002
62	718	4983
63	729	4968
64	740	4952
65	749	4929
66	759	4911
67	770	4896
68	782	4889
69	795	4888
70	812	4907
71	827	4918
72	842	4930
73	859	4949
74	877	4973
75	889	4961
76	900	4946
77	912	4936
78	923	4923
79	935	4912
80	946	4897
81	958	4886
82	970	4875
83	981	4862
84	992	4844
85	1002	4826
86	1013	4809
87	1022	4785
88	1032	4765
89	1042	4750
90	1052	4732
91	1064	4719
92	1073	4700
93	1084	4683
94	1093	4661
95	1103	4643
96	1114	4629
97	1124	4611
98	1132	4587
99	1141	4565
100	1151	4549
101	1163	4539
102	1175	4531
103	1185	4515
104	1193	4490
105	1203	4473
106	1211	4449
107	1220	4428
108	1227	4404
109	1235	4380
110	1245	4363
111	1254	4344
112	1264	4330
113	1273	4313
114	1282	4295
115	1290	4273
116	1298	4251
117	1306	4229
118	1314	4208
119	1322	4188
120	1330	4166
121	1339	4151
122	1347	4131
123	1356	4112
124	1364	4092
125	1372	4072
126	1380	4053
127	1388	4034
128	1395	4014
129	1403	3994
130	1412	3977
131	1421	3963
132	1429	3945
133	1437	3925
134	1444	3906
135	1452	3887
136	1460	3869
137	1468	3852
138	1477	3836
139	1485	3819
140	1494	3804
141	1502	3788
142	1511	3772
143	1519	3755
144	1526	3738
145	1534	3720
146	1543	3706
147	1551	3689
148	1559	3674
149	1567	3658
150	1575	3641
151	1584	3627
152	1592	3611
153	1600	3596
154	1608	3579
155	1616	3563
156	1624	3548
157	1632	3533
158	1639	3516
159	1647	3501
160	1655	3486
161	1665	3473
162	1673	3460
163	1681	3445
164	1689	3430
165	1698	3416
166	1706	3402
167	1714	3388
168	1722	3373
169	1730	3358
170	1738	3345
171	1747	3332
172	1754	3317
173	1762	3302
174	1770	3288
175	1779	3274
176	1786	3260
177	1794	3246
178	1802	3231
179	1810	3217
180	1817	3203
181	1826	3192
182	1834	3178
183	1841	3163
184	1850	3150
185	1858	3136
186	1866	3123
187	1873	3109
188	1881	3096
189	1889	3082
190	1897	3069
191	1906	3057
192	1914	3045
193	1922	3031
194	1929	3018
195	1937	3004
196	1945	2992
197	1953	2979
198	1961	2966
199	1969	2953
200	1978	2943
201	1988	2932
202	1997	2921
203	2004	2908
204	2013	2896
205	2021	2885
206	2029	2872
207	2037	2859
208	2044	2846
209	2053	2835
210	2061	2823
211	2069	2811
212	2078	2800
213	2086	2788
214	2094	2776
215	2103	2765
216	2111	2753
217	2119	2741
218	2127	2730
219	2135	2718
220	2143	2705
221	2151	2694
222	2160	2683
223	2168	2672
224	2176	2660
225	2184	2648
226	2192	2637
227	2201	2626
228	2209	2614
229	2217	2602
230	2224	2590
231	2233	2579
232	2241	2568
233	2249	2557
234	2260	2548
235	2270	2539
236	2280	2530
237	2288	2519
238	2297	2509
239	2305	2497
240	2313	2486
241	2322	2476
242	2332	2466
243	2340	2455
244	2349	2445
245	2358	2434
246	2367	2424
247	2375	2413
248	2383	2402
249	2392	2392
250	2401	2382
251	2410	2372
252	2419	2362
253	2428	2351
254	2437	2341
255	2445	2331
256	2453	2320
257	2461	2309
258	2470	2299
259	2480	2289
260	2490	2280
261	2499	2270
262	2510	2261
263	2519	2252
264	2530	2243
265	2540	2234
266	2549	2224
267	2558	2214
268	2566	2204
269	2574	2193
270	2583	2182
271	2590	2171
272	2598	2160
273	2605	2149
274	2614	2138
275	2622	2128
276	2631	2118
277	2639	2107
278	2647	2097
279	2656	2086
280	2664	2076
281	2673	2066
282	2681	2055
283	2688	2045
284	2697	2034
285	2704	2023
286	2712	2012
287	2720	2002
288	2728	1992
289	2736	1981
290	2744	1971
291	2752	1960
292	2760	1950
293	2768	1939
294	2777	1929
295	2786	1920
296	2798	1913
297	2808	1903
298	2817	1893
299	2825	1883
300	2833	1873
301	2841	1863
302	2849	1852
303	2858	1842
304	2865	1832
305	2874	1822
306	2882	1811
307	2889	1801
308	2898	1791
309	2907	1782
310	2915	1771
311	2924	1761
312	2932	1751
313	2941	1742
314	2949	1732
315	2957	1722
316	2966	1712
317	2977	1704
318	2986	1694
319	2994	1684
320	3002	1674
321	3012	1665
322	3022	1656
323	3030	1646
324	3038	1636
325	3048	1626
326	3056	1617
327	3066	1607
328	3074	1597
329	3083	1588
330	3091	1578
331	3100	1568
332	3109	1559
333	3117	1549
334	3125	1539
335	3133	1529
336	3143	1520
337	3153	1511
338	3162	1501
339	3171	1492
340	3180	1483
341	3190	1473
342	3199	1464
343	3208	1455
344	3219	1446
345	3228	1437
346	3238	1427
347	3249	1419
348	3261	1410
349	3270	1401
350	3280	1392
351	3288	1382
352	3298	1373
353	3308	1364
354	3317	1354
355	3325	1345
356	3334	1335
357	3342	1325
358	3351	1316
359	3359	1306
360	3368	1297
361	3376	1287
362	3386	1278
363	3395	1268
364	3404	1259
365	3412	1249
366	3420	1239
367	3429	1230
368	3438	1220
369	3447	1211
370	3455	1201
371	3479	1197
372	3487	1187
373	3496	1177
374	3504	1168
375	3513	1158
376	3522	1149
377	3531	1139
378	3540	1130
379	3550	1121
380	3559	1111
381	3567	1102
382	3576	1092
383	3584	1082
384	3592	1073
385	3600	1063
386	3609	1053
387	3617	1044
388	3625	1034
389	3633	1024
390	3643	1015
391	3651	1006
392	3659	996
393	3668	986
394	3676	977
395	3684	967
396	3692	957
397	3700	948
398	3710	939
399	3719	929
400	3727	920
401	3736	910
402	3744	901
403	3753	891
404	3761	882
405	3769	872
406	3779	863
407	3787	854
408	3796	844
409	3805	835
410	3813	825
411	3821	816
412	3829	806
413	3836	797
414	3845	787
415	3853	778
416	3861	768
417	3870	759
418	3880	750
419	3888	740
420	3897	731
421	3905	721
422	3912	712
423	3921	702
